windowSize,coo,col,both
1,0.19473881896,0.388839474191,0.196897793798
2,0.209611159288,0.379160211341,0.211431440742
3,0.217298231463,0.372612500343,0.219013390486
4,0.222283300632,0.367545340472,0.223966541942
5,0.225702094588,0.363514327731,0.227386467608
6,0.228321324245,0.359844598322,0.230012276098
7,0.230456961843,0.356912153308,0.232162342292
8,0.232254309411,0.354522089694,0.23397920248
9,0.233703867862,0.352249024984,0.235452917547
10,0.234972679541,0.350171802341,0.236751394804
11,0.236071870295,0.348364423719,0.237879554951
12,0.23701715249,0.346670407481,0.238856291696
13,0.237854762831,0.344994114409,0.239725068708
10,0.234972679541,0.350171802341,0.236751394804
20,0.241892422926,0.336047221801,0.243975950314
30,0.244633397258,0.325268987233,0.247016815811
40,0.245695392701,0.31337901372,0.248303711644
50,0.246025316637,0.300896405649,0.248775439816
60,0.246110097379,0.28984321047,0.24895368874
70,0.246128878366,0.281221615004,0.249041305192
80,0.246134780948,0.27700961908,0.24908445444
90,0.246136574382,0.276256815039,0.249096595189
100,0.246136913097,0.276050081462,0.249100454627
